* Data was revised on 10/4/23 to reflect the removal of 40 students with erroneous enrollments.,,,,,,,,,,,,,,,,,,,,,,,,
 School Information ,,,,,,,White,,Black/African American,,Asian/ Pacific Islander (Retired),,"Native American/
 Alaskan",,Latinx,,Multiracial,,Asian,,"Hawaiian/
 Pacific Islander",,"Not 
 Available",
School ID, School Name , Network ,Governance,School Type,Community Area, Total , No ,Pct, No ,Pct, No ,Pct, No ,Pct, No ,Pct, No ,Pct, No ,Pct, No ,Pct, No ,Pct
,District Total 2023-2024,,,,,"323,251","35,850",11.1%,"113,197",35.0%,1,0.0%,827,0.3%,"151,604",46.9%,"5,241",1.6%,"14,703",4.5%,407,0.1%,"1,421",0.4%
400153, ACERO - BRIGHTON PARK , Charter , Charter , Traditional , BRIGHTON PARK , 466 , - ,0.0%, 4 ,0.9%, - ,0.0%, - ,0.0%, 462 ,99.1%, - ,0.0%, - ,0.0%, - ,0.0%, - ,0.0%
400101, ACERO - CISNEROS , Charter , Charter , Traditional , BRIGHTON PARK , 353 , 6 ,1.7%, 1 ,0.3%, - ,0.0%, - ,0.0%, 346 ,98.0%, - ,0.0%, - ,0.0%, - ,0.0%, - ,0.0%
400120, ACERO - CLEMENTE , Charter , Charter , Traditional , BELMONT CRAGIN , 466 , 4 ,0.9%, 33 ,7.1%, - ,0.0%, - ,0.0%, 422 ,90.6%, 1 ,0.2%, - ,0.0%, 2 ,0.4%, 4 ,0.9%
400121, ACERO - DE LA CRUZ , Charter , Charter , Traditional , WEST RIDGE , 497 , 14 ,2.8%, 242 ,48.7%, - ,0.0%, 3 ,0.6%, 221 ,44.5%, 12 ,2.4%, 5 ,1.0%, - ,0.0%, - ,0.0%
400081, ACERO - DE LAS CASAS , Charter , Charter , Traditional , LOWER WEST SIDE , 223 , 1 ,0.4%, 6 ,2.7%, - ,0.0%, - ,0.0%, 215 ,96.4%, - ,0.0%, 1 ,0.4%, - ,0.0%, - ,0.0%
400082, ACERO - FUENTES , Charter , Charter , Traditional , AVONDALE , 394 , - ,0.0%, 6 ,1.5%, - ,0.0%, - ,0.0%, 387 ,98.2%, - ,0.0%, - ,0.0%, 1 ,0.3%, - ,0.0%
400085, ACERO - GARCIA HS , Charter , Charter , Traditional , ARCHER HEIGHTS , 623 , 12 ,1.9%, 3 ,0.5%, - ,0.0%, 1 ,0.2%, 605 ,97.1%, 1 ,0.2%, 1 ,0.2%, - ,0.0%, - ,0.0%
400112, ACERO - IDAR , Charter , Charter , Traditional , GAGE PARK , 524 , 5 ,1.0%, 2 ,0.4%, - ,0.0%, - ,0.0%, 517 ,98.7%, - ,0.0%, - ,0.0%, - ,0.0%, - ,0.0%
400089, ACERO - MARQUEZ , Charter , Charter , Traditional , BRIGHTON PARK , 517 , 4 ,0.8%, 3 ,0.6%, - ,0.0%, - ,0.0%, 510 ,98.6%, - ,0.0%, - ,0.0%, - ,0.0%, - ,0.0%
